Ticker,NAME 
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
AMZN,
